ID,category_1,category_2,external_name,logFC
ENSORLG00000000312,0,housekeeper,arhgap32b,0.263795188
ENSORLG00000003752,0,housekeeper,aif1l,-0.233555769
ENSORLG00000003824,0,housekeeper.general,TDRD7 (1 of 3),0.2733914
ENSORLG00000004424,0,housekeeper,asph,-0.207445867
ENSORLG00000005412,0,housekeeper,amot,-0.202964464
ENSORLG00000006320,0,housekeeper,caspa,-0.222146938
ENSORLG00000007168,0,housekeeper,EFEMP1,0.284175369
ENSORLG00000007781,0,housekeeper.general,C20orf27 (2 of 2),-0.233394668
ENSORLG00000007872,0,housekeeper,mpp6a,0.268490184
ENSORLG00000008280,0,housekeeper,CAPN1,0.24807554
ENSORLG00000009316,0,housekeeper,serpine2,0.255827814
ENSORLG00000010791,0,housekeeper,zfpl1,0.256391794
ENSORLG00000011874,0,housekeeper.general,rbm25b,0.254476462
ENSORLG00000012542,0,housekeeper,jupa,0.26134115
ENSORLG00000012754,0,housekeeper.general,tmem55a,0.272635176
ENSORLG00000012984,0,housekeeper.general,wdr45b,0.246202573
ENSORLG00000013918,0,housekeeper,ggh,-0.225468298
ENSORLG00000014242,0,housekeeper,fam45a,-0.244174016
ENSORLG00000014497,0,housekeeper.general,DDX17 (2 of 2),0.235815603
ENSORLG00000015042,0,housekeeper,prph,-0.22333613
ENSORLG00000015424,0,housekeeper,cab39,0.263812191
ENSORLG00000015716,0,housekeeper,ctsk,-0.228666415
ENSORLG00000015837,0,housekeeper,gap43,-0.203563239
ENSORLG00000016109,0,housekeeper.general,fsd1l,-0.235607879
ENSORLG00000018359,0,housekeeper,SZRD1 (2 of 2),0.257117271
ENSORLG00000019528,0,housekeeper.general,fbxo28,0.243413937
ENSORLG00000019941,0,housekeeper,spns1,-0.213760697
ENSORLG00000020136,0,housekeeper,EPHA2,-0.225991026
ENSORLG00000021779,0,housekeeper,ND5,-0.234542486
ENSORLG00000013712,1,TDS_best,gstr,1.154815215
ENSORLG00000013488,0.7,TDS_extra,cxcr3.1,-1.795967144
ENSORLG00000000026,1,TDS_best,zgc:113142,6.022027801
ENSORLG00000000313,1,TDS_best,lygl1,-1.149762642
ENSORLG00000000597,1,TDS_best,N0_homology,1.679050651
ENSORLG00000000605,1,TDS_best,HOMO_uromodulin-like,2.71313958
ENSORLG00000001131,1,TDS_best,irf1b,-1.220959145
ENSORLG00000001307,1,TDS_best,HOMO_myosin-like,-6.740047011
ENSORLG00000002182,1,TDS_best,ppt2,1.226372272
ENSORLG00000002303,1,TDS_best,HOMO_gimd1,-1.797581852
ENSORLG00000002315,1,TDS_best,CCDC109B,-2.538961433
ENSORLG00000002401,1,TDS_best,CCDC171,-1.521944189
ENSORLG00000002478,1,TDS_best,HOMO_bscl2,1.648434395
