ID,model.drug,drug.1,drug.2,drug.3,drug.4,drug.5,drug.6,drug.7,drug.8,drug.9,drug.10,drug.11,drug.12,drug.13,drug.14,drug.15,drug.16,drug.17,drug.18,drug.19,drug.20
ENSORLG00000000026,-6.022027801,-6.022027801,-5.419825021,-4.817622241,6.022027801,5.419825021,4.817622241,6.022027801,5.419825021,0,0,-2.632268215,1.105830821,4.972478204,-1.679050651,-1.331422566,-0.976606557,1.140276278,3.734903128,-0.954442565,0.988908385
ENSORLG00000000313,1.149762642,1.149762642,1.034786378,0.919810114,-1.149762642,-1.034786378,-0.919810114,0,0,1.149762642,1.034786378,-1.479569174,-1.085112058,19.6153155,-1.295766445,0.731815853,1.15187696,1.237190883,-1.085884242,1.300259843,2.260833498
ENSORLG00000000491,-1.901172526,-1.330820768,-1.197738691,-1.064656615,1.330820768,1.197738691,1.064656615,1.330820768,1.197738691,0,0,1.409845142,3.895750038,0.849707844,-1.479559416,-1.65721593,-1.679050651,-1.479569174,-1.261108928,-1.167560911,5.928585667
ENSORLG00000000504,1.095157233,0.766610063,0.689949057,0.61328805,-0.766610063,-0.689949057,-0.61328805,0,0,0.766610063,0.689949057,-0.713637423,2.914463815,1.277200887,-1.65721593,-1.074719715,1.124655097,5.513116804,1.409845142,1.558965403,2.172047145
ENSORLG00000000597,-1.679050651,-1.679050651,-1.511145586,-1.343240521,1.679050651,1.511145586,1.343240521,1.679050651,1.511145586,0,0,-1.220478186,2.753458983,1.149762642,-1.696065342,0.862964358,-1.357057899,-1.479569174,1.709470703,2.889998816,1.521944189
ENSORLG00000000605,-2.71313958,-2.71313958,-2.441825622,-2.170511664,2.71313958,2.441825622,2.170511664,2.71313958,2.441825622,0,0,4.745564723,-1.867961118,1.311698393,1.15187696,3.734903128,1.241830048,1.303546262,5.928585667,-1.99765833,0.763290707
ENSORLG00000000675,-1.938654141,-1.357057899,-1.221352109,-1.085646319,1.357057899,1.221352109,1.085646319,1.357057899,1.221352109,0,0,0.777531227,-1.172729173,0.763290707,1.303546262,-1.004923697,0.988908385,3.518267656,-1.479569174,0.8412495,1.302527096
ENSORLG00000001003,-2.318200199,-1.622740139,-1.460466125,-1.298192111,1.622740139,1.460466125,1.298192111,1.622740139,1.460466125,0,0,-0.727697352,1.105830821,1.558965403,-0.83419849,1.127299865,-1.99765833,-1.940684967,3.606117351,-1.429686859,-1.173483509
ENSORLG00000001131,1.220959145,1.220959145,1.098863231,0.976767316,-1.220959145,-1.098863231,-0.976767316,0,0,1.220959145,1.098863231,1.518612876,4.758567849,-1.00543918,0.731815853,-1.168507012,-1.869022662,1.789683969,0.771130437,2.172047145,1.220959145
ENSORLG00000001187,3.441823729,2.753458983,2.478113085,2.202767187,-2.753458983,-2.478113085,-2.202767187,0,0,2.753458983,2.478113085,1.822038597,2.260833498,0.708533379,1.519219538,1.044457754,-0.919610572,-1.285994943,1.211309939,-1.00543918,1.300259843
